"","gene_short_name","num_cells_expressed","use_for_ordering"
"ACAP3","ACAP3",345,TRUE
"CCNL2","CCNL2",347,TRUE
"SSU72","SSU72",230,TRUE
"CHD5","CHD5",213,TRUE
"RPL22","RPL22",298,TRUE
"ACOT7","ACOT7",198,TRUE
"TNFRSF25","TNFRSF25",198,TRUE
"H6PD","H6PD",200,TRUE
"DNAJC16","DNAJC16",261,TRUE
"DDI2","DDI2",368,TRUE
"ATP13A2","ATP13A2",215,TRUE
"SDHB","SDHB",240,TRUE
"PADI2","PADI2",552,TRUE
"NBL1","NBL1",254,TRUE
"CAMK2N1","CAMK2N1",531,TRUE
"C1QA","C1QA",315,TRUE
"C1QC","C1QC",431,TRUE
"C1QB","C1QB",535,TRUE
"RPL11","RPL11",467,TRUE
"SRRM1","SRRM1",456,TRUE
"STMN1","STMN1",373,TRUE
"ATP5IF1","ATP5IF1",180,TRUE
"GMEB1","GMEB1",204,TRUE
"RNF19B","RNF19B",330,TRUE
"AZIN2","AZIN2",550,TRUE
"NCDN","NCDN",226,TRUE
"MEAF6","MEAF6",227,TRUE
"PABPC4","PABPC4",231,TRUE
"PPT1","PPT1",306,TRUE
"ERMAP","ERMAP",285,TRUE
"KDM4A","KDM4A",218,TRUE
"ATP6V0B","ATP6V0B",311,TRUE
"RPS8","RPS8",415,TRUE
"AKR1A1","AKR1A1",391,TRUE
"UQCRH","UQCRH",275,TRUE
"TAL1","TAL1",426,TRUE
"ELAVL4","ELAVL4",434,TRUE
"TMEM59","TMEM59",333,TRUE
"JUN","JUN",208,TRUE
"TM2D1","TM2D1",344,TRUE
"LEPR","LEPR",218,TRUE
"ST6GALNAC5","ST6GALNAC5",288,TRUE
"PIGK","PIGK",210,TRUE
"IFI44L","IFI44L",403,TRUE
"IFI44","IFI44",205,TRUE
"SELENOF","SELENOF",300,TRUE
"GTF2B","GTF2B",260,TRUE
"ZNF326","ZNF326",303,TRUE
"RPL5","RPL5",407,TRUE
"CCDC18","CCDC18",178,TRUE
"TRMT13","TRMT13",254,TRUE
"SLC30A7","SLC30A7",326,TRUE
"RNPC3","RNPC3",579,TRUE
"PRPF38B","PRPF38B",526,TRUE
"DRAM2","DRAM2",392,TRUE
"TMIGD3","TMIGD3",545,TRUE
"ADORA3","ADORA3",241,TRUE
"WNT2B","WNT2B",497,TRUE
"LINC01356","LINC01356",190,TRUE
"LINC01357","LINC01357",434,TRUE
"ATP1A1","ATP1A1",454,TRUE
"CD58","CD58",318,TRUE
"LINC00623","LINC00623",187,TRUE
"FCGR1B","FCGR1B",239,TRUE
"TXNIP","TXNIP",442,TRUE
"FCGR1A","FCGR1A",185,TRUE
"SV2A","SV2A",210,TRUE
"MRPS21","MRPS21",244,TRUE
"CTSS","CTSS",455,TRUE
"C1orf56","C1orf56",146,TRUE
"CDC42SE1","CDC42SE1",305,TRUE
"PI4KB","PI4KB",340,TRUE
"RPS27","RPS27",761,TRUE
"FDPS","FDPS",220,TRUE
"SYT11","SYT11",419,TRUE
"CCT3","CCT3",200,TRUE
"C1orf61","C1orf61",298,TRUE
"MNDA","MNDA",395,TRUE
"PEA15","PEA15",249,TRUE
"ARHGAP30","ARHGAP30",240,TRUE
"NDUFS2","NDUFS2",268,TRUE
"FCGR2A","FCGR2A",205,TRUE
"FCGR3A","FCGR3A",234,TRUE
"RGS4","RGS4",260,TRUE
"MGST3","MGST3",324,TRUE
"C1orf112","C1orf112",305,TRUE
"KLHL20","KLHL20",302,TRUE
"ZBTB37","ZBTB37",213,TRUE
"LINC01645","LINC01645",189,TRUE
"SOAT1","SOAT1",532,TRUE
"TOR1AIP2","TOR1AIP2",243,TRUE
"GLUL","GLUL",602,TRUE
"ARPC5","ARPC5",290,TRUE
"NIBAN1","NIBAN1",363,TRUE
"RGS1","RGS1",274,TRUE
"BTG2","BTG2",326,TRUE
"ELK4","ELK4",260,TRUE
"AC119673.2","AC119673.2",244,TRUE
"PFKFB2","PFKFB2",206,TRUE
"TATDN3","TATDN3",311,TRUE
"ANGEL2","ANGEL2",308,TRUE
"AIDA","AIDA",357,TRUE
"BROX","BROX",206,TRUE
"FAM177B","FAM177B",259,TRUE
"AL392172.1","AL392172.1",441,TRUE
"TLR5","TLR5",335,TRUE
"DEGS1","DEGS1",236,TRUE
"LBR","LBR",261,TRUE
"H3F3A","H3F3A",447,TRUE
"GUK1","GUK1",280,TRUE
"CCSAP","CCSAP",214,TRUE
"LINC01736","LINC01736",180,TRUE
"EGLN1","EGLN1",404,TRUE
"TOMM20","TOMM20",323,TRUE
"B3GALNT2","B3GALNT2",238,TRUE
"HEATR1","HEATR1",254,TRUE
"COX20","COX20",200,TRUE
"CNST","CNST",302,TRUE
"ZNF124","ZNF124",568,TRUE
"RPS7","RPS7",283,TRUE
"ID2","ID2",295,TRUE
"TAF1B","TAF1B",205,TRUE
"VSNL1","VSNL1",541,TRUE
"RHOB","RHOB",266,TRUE
"MRPL33","MRPL33",204,TRUE
"PLB1","PLB1",286,TRUE
"LINC00486","LINC00486",497,TRUE
"GALM","GALM",208,TRUE
"SRSF7","SRSF7",571,TRUE
"COX7A2L","COX7A2L",225,TRUE
"PREPL","PREPL",590,TRUE
"SRBD1","SRBD1",454,TRUE
"AC018682.1","AC018682.1",145,TRUE
"RPS27A","RPS27A",534,TRUE
"AC132153.1","AC132153.1",282,TRUE
"REL","REL",442,TRUE
"KIAA1841","KIAA1841",269,TRUE
"CCT4","CCT4",287,TRUE
"MDH1","MDH1",304,TRUE
"AC012368.1","AC012368.1",401,TRUE
"PLEK","PLEK",339,TRUE
"PCBP1","PCBP1",211,TRUE
"DYSF","DYSF",214,TRUE
"MOB1A","MOB1A",302,TRUE
"AUP1","AUP1",226,TRUE
"GCFC2","GCFC2",252,TRUE
"TMSB10","TMSB10",686,TRUE
"MAT2A","MAT2A",345,TRUE
"KDM3A","KDM3A",301,TRUE
"MRPS5","MRPS5",277,TRUE
"STARD7","STARD7",276,TRUE
"SNRNP200","SNRNP200",221,TRUE
"ARID5A","ARID5A",270,TRUE
"COX5B","COX5B",188,TRUE
"EIF5B","EIF5B",281,TRUE
"RPL31","RPL31",481,TRUE
"SLC20A1","SLC20A1",236,TRUE
"CBWD2","CBWD2",253,TRUE
"GYPC","GYPC",230,TRUE
"PTPN18","PTPN18",426,TRUE
"TMEM163","TMEM163",400,TRUE
"AC114763.1","AC114763.1",239,TRUE
"ACVR2A","ACVR2A",354,TRUE
"PRPF40A","PRPF40A",444,TRUE
"ARL6IP6","ARL6IP6",216,TRUE
"WDSUB1","WDSUB1",373,TRUE
"CD302","CD302",329,TRUE
"LY75","LY75",217,TRUE
"DHRS9","DHRS9",201,TRUE
"DCAF17","DCAF17",213,TRUE
"PDK1","PDK1",196,TRUE
"CIR1","CIR1",300,TRUE
"CHN1","CHN1",904,TRUE
"DNAJC10","DNAJC10",457,TRUE
"ZC3H15","ZC3H15",246,TRUE
"STAT1","STAT1",222,TRUE
"NABP1","NABP1",311,TRUE
"STK17B","STK17B",199,TRUE
"HSPD1","HSPD1",235,TRUE
"MOB4","MOB4",205,TRUE
"CLK1","CLK1",596,TRUE
"SUMO1","SUMO1",210,TRUE
"NOP58","NOP58",274,TRUE
"AC009226.1","AC009226.1",189,TRUE
"METTL21A","METTL21A",263,TRUE
"IDH1","IDH1",217,TRUE
"SPAG16","SPAG16",324,TRUE
"SMARCAL1","SMARCAL1",255,TRUE
"RPL37A","RPL37A",627,TRUE
"PNKD","PNKD",196,TRUE
"SLC11A1","SLC11A1",344,TRUE
"DNAJB2","DNAJB2",273,TRUE
"AC009950.1","AC009950.1",321,TRUE
"SP110","SP110",516,TRUE
"ITM2C","ITM2C",287,TRUE
"COPS7B","COPS7B",217,TRUE
"STK25","STK25",237,TRUE
"ATG4B","ATG4B",391,TRUE
"ING5","ING5",222,TRUE
"D2HGDH","D2HGDH",316,TRUE
"CRBN","CRBN",303,TRUE
"AC034195.1","AC034195.1",275,TRUE
"BRK1","BRK1",204,TRUE
"VHL","VHL",235,TRUE
"IRAK2","IRAK2",349,TRUE
"PPARG","PPARG",228,TRUE
"RPL32","RPL32",523,TRUE
"FGD5-AS1","FGD5-AS1",221,TRUE
"ZNF385D","ZNF385D",295,TRUE
"RPL15","RPL15",406,TRUE
"GPD1L","GPD1L",213,TRUE
"CMTM6","CMTM6",407,TRUE
"EPM2AIP1","EPM2AIP1",283,TRUE
"ACAA1","ACAA1",222,TRUE
"OXSR1","OXSR1",403,TRUE
"RPSA","RPSA",309,TRUE
"RPL14","RPL14",376,TRUE
"CCK","CCK",321,TRUE
