sample_id,group,class
KO-CLP1,KO_CLP,KO-CLP
KO-CLP2,KO_CLP,KO-CLP
KO-CLP3,KO_CLP,KO-CLP
KO-CLP4,KO_CLP,KO-CLP
KO-CLP5,KO_CLP,KO-CLP
KO-CLP6,KO_CLP,KO-CLP
KO-CLP7,KO_CLP,KO-CLP
KO-CLP8,KO_CLP,KO-CLP
KO-NC1,KO_NC,KO-NC
KO-NC2,KO_NC,KO-NC
KO-NC3,KO_NC,KO-NC
KO-NC4,KO_NC,KO-NC
KO-NC5,KO_NC,KO-NC
KO-NC6,KO_NC,KO-NC
KO-NC7,KO_NC,KO-NC
KO-NC8,KO_NC,KO-NC
WT-CLP1,WT_CLP,WT-CLP
WT-CLP2,WT_CLP,WT-CLP
WT-CLP3,WT_CLP,WT-CLP
WT-CLP4,WT_CLP,WT-CLP
WT-CLP5,WT_CLP,WT-CLP
WT-CLP6,WT_CLP,WT-CLP
WT-CLP7,WT_CLP,WT-CLP
WT-CLP8,WT_CLP,WT-CLP
WT-NC1,WT_NC,WT-NC
WT-NC2,WT_NC,WT-NC
WT-NC3,WT_NC,WT-NC
WT-NC4,WT_NC,WT-NC
WT-NC5,WT_NC,WT-NC
WT-NC6,WT_NC,WT-NC
WT-NC7,WT_NC,WT-NC
WT-NC8,WT_NC,WT-NC
QC1,QC,QC
QC2,QC,QC
QC3,QC,QC
QC4,QC,QC
QC5,QC,QC
QC6,QC,QC
